Welcome to CSOPESY Emulator!

root:\> screen -ls
CPU utilization:  81%
Cores used: 13
Cores available: 3

--------------------------------------------------------

Running processes   
Name           Created                   Core            Used / Total   
p001           11/04/2025 02:07:19PM     12          908 / 500000  
p002           11/04/2025 02:07:19PM     2           906 / 500000  
p003           11/04/2025 02:07:19PM     14          906 / 500000  
p004           11/04/2025 02:07:19PM     0           903 / 500000  
p005           11/04/2025 02:07:20PM     7           902 / 500000  
p006           11/04/2025 02:07:20PM     4           899 / 500000  
p007           11/04/2025 02:07:20PM     5           884 / 500000  
p008           11/04/2025 02:07:20PM     1           882 / 500000  
p009           11/04/2025 02:07:20PM     15          881 / 500000  
p010           11/04/2025 02:07:20PM     11          879 / 500000  
p011           11/04/2025 02:07:20PM     6           878 / 500000  
p012           11/04/2025 02:07:20PM     13          877 / 500000  
p013           11/04/2025 02:07:20PM     8           876 / 500000  
p014           11/04/2025 02:07:20PM     -           765 / 500000  
p015           11/04/2025 02:07:20PM     -             0 / 500000  
p016           11/04/2025 02:07:20PM     -             0 / 500000  
p017           11/04/2025 02:07:20PM     -             0 / 500000  
p018           11/04/2025 02:07:20PM     -             0 / 500000  
p019           11/04/2025 02:07:20PM     -             0 / 500000  
p020           11/04/2025 02:07:21PM     -             0 / 500000  
p021           11/04/2025 02:07:21PM     -             0 / 500000  
p022           11/04/2025 02:07:21PM     -             0 / 500000  
p023           11/04/2025 02:07:21PM     -             0 / 500000  
p024           11/04/2025 02:07:21PM     -             0 / 500000  
p025           11/04/2025 02:07:21PM     -             0 / 500000  
p026           11/04/2025 02:07:21PM     -             0 / 500000  
p027           11/04/2025 02:07:21PM     -             0 / 500000  
p028           11/04/2025 02:07:21PM     -             0 / 500000  
p029           11/04/2025 02:07:21PM     -             0 / 500000  
p030           11/04/2025 02:07:21PM     -             0 / 500000  
p031           11/04/2025 02:07:21PM     -             0 / 500000  
p032           11/04/2025 02:07:21PM     -             0 / 500000  
p033           11/04/2025 02:07:22PM     -             0 / 500000  
p034           11/04/2025 02:07:22PM     -             0 / 500000  
p035           11/04/2025 02:07:22PM     -             0 / 500000  
p036           11/04/2025 02:07:22PM     -             0 / 500000  
p037           11/04/2025 02:07:22PM     -             0 / 500000  
p038           11/04/2025 02:07:22PM     -             0 / 500000  
p039           11/04/2025 02:07:22PM     -             0 / 500000  
p040           11/04/2025 02:07:22PM     -             0 / 500000  
p041           11/04/2025 02:07:22PM     -             0 / 500000  
p042           11/04/2025 02:07:22PM     -             0 / 500000  
p043           11/04/2025 02:07:22PM     -             0 / 500000  
p044           11/04/2025 02:07:22PM     -             0 / 500000  
p045           11/04/2025 02:07:22PM     -             0 / 500000  
p046           11/04/2025 02:07:22PM     -             0 / 500000  
p047           11/04/2025 02:07:22PM     -             0 / 500000  
p048           11/04/2025 02:07:22PM     -             0 / 500000  
p049           11/04/2025 02:07:23PM     -             0 / 500000  
p050           11/04/2025 02:07:23PM     -             0 / 500000  
p051           11/04/2025 02:07:23PM     -             0 / 500000  
p052           11/04/2025 02:07:23PM     -             0 / 500000  
p053           11/04/2025 02:07:23PM     -             0 / 500000  
p054           11/04/2025 02:07:23PM     -             0 / 500000  
p055           11/04/2025 02:07:23PM     -             0 / 500000  
p056           11/04/2025 02:07:23PM     -             0 / 500000  
p057           11/04/2025 02:07:23PM     -             0 / 500000  
p058           11/04/2025 02:07:23PM     -             0 / 500000  
p059           11/04/2025 02:07:23PM     -             0 / 500000  
p060           11/04/2025 02:07:23PM     -             0 / 500000  
p061           11/04/2025 02:07:23PM     -             0 / 500000  
p062           11/04/2025 02:07:23PM     -             0 / 500000  
p063           11/04/2025 02:07:23PM     -             0 / 500000  
p064           11/04/2025 02:07:24PM     -             0 / 500000  
p065           11/04/2025 02:07:24PM     -             0 / 500000  
p066           11/04/2025 02:07:24PM     -             0 / 500000  
p067           11/04/2025 02:07:24PM     -             0 / 500000  
p068           11/04/2025 02:07:24PM     -             0 / 500000  
p069           11/04/2025 02:07:24PM     -             0 / 500000  
p070           11/04/2025 02:07:24PM     -             0 / 500000  
p071           11/04/2025 02:07:24PM     -             0 / 500000  
p072           11/04/2025 02:07:24PM     -             0 / 500000  
p073           11/04/2025 02:07:24PM     -             0 / 500000  
p074           11/04/2025 02:07:24PM     -             0 / 500000  
p075           11/04/2025 02:07:24PM     -             0 / 500000  
p076           11/04/2025 02:07:24PM     -             0 / 500000  
p077           11/04/2025 02:07:24PM     -             0 / 500000  
p078           11/04/2025 02:07:24PM     -             0 / 500000  
p079           11/04/2025 02:07:25PM     -             0 / 500000  
p080           11/04/2025 02:07:25PM     -             0 / 500000  
p081           11/04/2025 02:07:25PM     -             0 / 500000  
p082           11/04/2025 02:07:25PM     -             0 / 500000  
p083           11/04/2025 02:07:25PM     -             0 / 500000  
p084           11/04/2025 02:07:25PM     -             0 / 500000  
p085           11/04/2025 02:07:25PM     -             0 / 500000  
p086           11/04/2025 02:07:25PM     -             0 / 500000  
p087           11/04/2025 02:07:25PM     -             0 / 500000  
p088           11/04/2025 02:07:25PM     -             0 / 500000  
p089           11/04/2025 02:07:25PM     -             0 / 500000  
p090           11/04/2025 02:07:25PM     -             0 / 500000  
p091           11/04/2025 02:07:25PM     -             0 / 500000  
p092           11/04/2025 02:07:25PM     -             0 / 500000  
p093           11/04/2025 02:07:25PM     -             0 / 500000  
p094           11/04/2025 02:07:25PM     -             0 / 500000  
p095           11/04/2025 02:07:26PM     -             0 / 500000  
p096           11/04/2025 02:07:26PM     -             0 / 500000  
p097           11/04/2025 02:07:26PM     -             0 / 500000  
p098           11/04/2025 02:07:26PM     -             0 / 500000  
p099           11/04/2025 02:07:26PM     -             0 / 500000  
p100           11/04/2025 02:07:26PM     -             0 / 500000  
p101           11/04/2025 02:07:26PM     -             0 / 500000  
p102           11/04/2025 02:07:26PM     -             0 / 500000  
p103           11/04/2025 02:07:26PM     -             0 / 500000  
p104           11/04/2025 02:07:26PM     -             0 / 500000  
p105           11/04/2025 02:07:26PM     -             0 / 500000  
p106           11/04/2025 02:07:26PM     -             0 / 500000  
p107           11/04/2025 02:07:26PM     -             0 / 500000  
p108           11/04/2025 02:07:27PM     -             0 / 500000  
p109           11/04/2025 02:07:27PM     -             0 / 500000  
p110           11/04/2025 02:07:27PM     -             0 / 500000  
p111           11/04/2025 02:07:27PM     -             0 / 500000  
p112           11/04/2025 02:07:27PM     -             0 / 500000  
p113           11/04/2025 02:07:27PM     -             0 / 500000  
p114           11/04/2025 02:07:27PM     -             0 / 500000  
p115           11/04/2025 02:07:27PM     -             0 / 500000  
p116           11/04/2025 02:07:27PM     -             0 / 500000  
p117           11/04/2025 02:07:27PM     -             0 / 500000  
p118           11/04/2025 02:07:27PM     -             0 / 500000  
p119           11/04/2025 02:07:27PM     -             0 / 500000  
p120           11/04/2025 02:07:27PM     -             0 / 500000  
p121           11/04/2025 02:07:27PM     -             0 / 500000  
p122           11/04/2025 02:07:28PM     -             0 / 500000  
p123           11/04/2025 02:07:28PM     -             0 / 500000  
p124           11/04/2025 02:07:28PM     -             0 / 500000  
p125           11/04/2025 02:07:28PM     -             0 / 500000  
p126           11/04/2025 02:07:28PM     -             0 / 500000  
p127           11/04/2025 02:07:28PM     -             0 / 500000  
p128           11/04/2025 02:07:28PM     -             0 / 500000  
p129           11/04/2025 02:07:28PM     -             0 / 500000  
p130           11/04/2025 02:07:28PM     -             0 / 500000  
p131           11/04/2025 02:07:28PM     -             0 / 500000  
p132           11/04/2025 02:07:28PM     -             0 / 500000  
p133           11/04/2025 02:07:28PM     -             0 / 500000  
p134           11/04/2025 02:07:28PM     -             0 / 500000  
p135           11/04/2025 02:07:28PM     -             0 / 500000  
p136           11/04/2025 02:07:28PM     -             0 / 500000  
p137           11/04/2025 02:07:28PM     -             0 / 500000  
p138           11/04/2025 02:07:29PM     -             0 / 500000  
p139           11/04/2025 02:07:29PM     -             0 / 500000  
p140           11/04/2025 02:07:29PM     -             0 / 500000  
p141           11/04/2025 02:07:29PM     -             0 / 500000  
p142           11/04/2025 02:07:29PM     -             0 / 500000  
p143           11/04/2025 02:07:29PM     -             0 / 500000  
p144           11/04/2025 02:07:29PM     -             0 / 500000  
p145           11/04/2025 02:07:29PM     -             0 / 500000  
p146           11/04/2025 02:07:29PM     -             0 / 500000  
p147           11/04/2025 02:07:29PM     -             0 / 500000  
p148           11/04/2025 02:07:29PM     -             0 / 500000  
p149           11/04/2025 02:07:29PM     -             0 / 500000  
p150           11/04/2025 02:07:29PM     -             0 / 500000  
p151           11/04/2025 02:07:29PM     -             0 / 500000  
p152           11/04/2025 02:07:29PM     -             0 / 500000  
p153           11/04/2025 02:07:29PM     -             0 / 500000  
p154           11/04/2025 02:07:30PM     -             0 / 500000  
p155           11/04/2025 02:07:30PM     -             0 / 500000  
p156           11/04/2025 02:07:30PM     -             0 / 500000  
p157           11/04/2025 02:07:30PM     -             0 / 500000  
p158           11/04/2025 02:07:30PM     -             0 / 500000  
p159           11/04/2025 02:07:30PM     -             0 / 500000  
p160           11/04/2025 02:07:30PM     -             0 / 500000  
p161           11/04/2025 02:07:30PM     -             0 / 500000  
p162           11/04/2025 02:07:30PM     -             0 / 500000  
p163           11/04/2025 02:07:30PM     -             0 / 500000  
p164           11/04/2025 02:07:30PM     -             0 / 500000  
p165           11/04/2025 02:07:30PM     -             0 / 500000  
p166           11/04/2025 02:07:30PM     -             0 / 500000  
p167           11/04/2025 02:07:30PM     -             0 / 500000  
p168           11/04/2025 02:07:31PM     -             0 / 500000  
p169           11/04/2025 02:07:31PM     -             0 / 500000  
p170           11/04/2025 02:07:31PM     -             0 / 500000  
p171           11/04/2025 02:07:31PM     -             0 / 500000  
p172           11/04/2025 02:07:31PM     -             0 / 500000  
p173           11/04/2025 02:07:31PM     -             0 / 500000  
p174           11/04/2025 02:07:31PM     -             0 / 500000  
p175           11/04/2025 02:07:31PM     -             0 / 500000  
p176           11/04/2025 02:07:31PM     -             0 / 500000  
p177           11/04/2025 02:07:31PM     -             0 / 500000  
p178           11/04/2025 02:07:31PM     -             0 / 500000  
p179           11/04/2025 02:07:31PM     -             0 / 500000  
p180           11/04/2025 02:07:31PM     -             0 / 500000  
p181           11/04/2025 02:07:31PM     -             0 / 500000  
p182           11/04/2025 02:07:31PM     -             0 / 500000  
p183           11/04/2025 02:07:31PM     -             0 / 500000  
p184           11/04/2025 02:07:32PM     -             0 / 500000  
p185           11/04/2025 02:07:32PM     -             0 / 500000  
p186           11/04/2025 02:07:32PM     -             0 / 500000  
p187           11/04/2025 02:07:32PM     -             0 / 500000  
p188           11/04/2025 02:07:32PM     -             0 / 500000  
p189           11/04/2025 02:07:32PM     -             0 / 500000  
p190           11/04/2025 02:07:32PM     -             0 / 500000  
p191           11/04/2025 02:07:32PM     -             0 / 500000  
p192           11/04/2025 02:07:32PM     -             0 / 500000  
p193           11/04/2025 02:07:32PM     -             0 / 500000  
p194           11/04/2025 02:07:32PM     -             0 / 500000  
p195           11/04/2025 02:07:32PM     -             0 / 500000  
p196           11/04/2025 02:07:32PM     -             0 / 500000  
p197           11/04/2025 02:07:32PM     -             0 / 500000  
p198           11/04/2025 02:07:32PM     -             0 / 500000  
p199           11/04/2025 02:07:33PM     -             0 / 500000  
p200           11/04/2025 02:07:33PM     -             0 / 500000  
p201           11/04/2025 02:07:33PM     -             0 / 500000  
p202           11/04/2025 02:07:33PM     -             0 / 500000  
p203           11/04/2025 02:07:33PM     -             0 / 500000  
p204           11/04/2025 02:07:33PM     -             0 / 500000  
p205           11/04/2025 02:07:33PM     -             0 / 500000  
p206           11/04/2025 02:07:33PM     -             0 / 500000  
p207           11/04/2025 02:07:33PM     -             0 / 500000  
p208           11/04/2025 02:07:33PM     -             0 / 500000  
p209           11/04/2025 02:07:33PM     -             0 / 500000  
p210           11/04/2025 02:07:33PM     -             0 / 500000  
p211           11/04/2025 02:07:33PM     -             0 / 500000  
p212           11/04/2025 02:07:33PM     -             0 / 500000  
p213           11/04/2025 02:07:34PM     -             0 / 500000  
p214           11/04/2025 02:07:34PM     -             0 / 500000  
p215           11/04/2025 02:07:34PM     -             0 / 500000  
p216           11/04/2025 02:07:34PM     -             0 / 500000  
p217           11/04/2025 02:07:34PM     -             0 / 500000  
p218           11/04/2025 02:07:34PM     -             0 / 500000  
p219           11/04/2025 02:07:34PM     -             0 / 500000  
p220           11/04/2025 02:07:34PM     -             0 / 500000  
p221           11/04/2025 02:07:34PM     -             0 / 500000  
p222           11/04/2025 02:07:34PM     -             0 / 500000  
p223           11/04/2025 02:07:34PM     -             0 / 500000  
p224           11/04/2025 02:07:34PM     -             0 / 500000  
p225           11/04/2025 02:07:34PM     -             0 / 500000  
p226           11/04/2025 02:07:34PM     -             0 / 500000  
p227           11/04/2025 02:07:34PM     -             0 / 500000  
p228           11/04/2025 02:07:35PM     -             0 / 500000  
p229           11/04/2025 02:07:35PM     -             0 / 500000  
p230           11/04/2025 02:07:35PM     -             0 / 500000  
p231           11/04/2025 02:07:35PM     -             0 / 500000  
p232           11/04/2025 02:07:35PM     -             0 / 500000  
p233           11/04/2025 02:07:35PM     -             0 / 500000  
p234           11/04/2025 02:07:35PM     -             0 / 500000  
p235           11/04/2025 02:07:35PM     -             0 / 500000  
p236           11/04/2025 02:07:35PM     -             0 / 500000  
p237           11/04/2025 02:07:35PM     -             0 / 500000  
p238           11/04/2025 02:07:35PM     -             0 / 500000  
p239           11/04/2025 02:07:35PM     -             0 / 500000  
p240           11/04/2025 02:07:35PM     -             0 / 500000  
p241           11/04/2025 02:07:35PM     -             0 / 500000  
p242           11/04/2025 02:07:36PM     -             0 / 500000  
p243           11/04/2025 02:07:36PM     -             0 / 500000  
p244           11/04/2025 02:07:36PM     -             0 / 500000  
p245           11/04/2025 02:07:36PM     -             0 / 500000  
p246           11/04/2025 02:07:36PM     -             0 / 500000  
p247           11/04/2025 02:07:36PM     -             0 / 500000  
p248           11/04/2025 02:07:36PM     -             0 / 500000  
p249           11/04/2025 02:07:36PM     -             0 / 500000  
p250           11/04/2025 02:07:36PM     -             0 / 500000  
p251           11/04/2025 02:07:36PM     -             0 / 500000  
p252           11/04/2025 02:07:36PM     -             0 / 500000  
p253           11/04/2025 02:07:36PM     -             0 / 500000  
p254           11/04/2025 02:07:36PM     -             0 / 500000  
p255           11/04/2025 02:07:36PM     -             0 / 500000  
p256           11/04/2025 02:07:36PM     -             0 / 500000  
p257           11/04/2025 02:07:36PM     -             0 / 500000  
p258           11/04/2025 02:07:37PM     -             0 / 500000  
p259           11/04/2025 02:07:37PM     -             0 / 500000  
p260           11/04/2025 02:07:37PM     -             0 / 500000  
p261           11/04/2025 02:07:37PM     -             0 / 500000  
p262           11/04/2025 02:07:37PM     -             0 / 500000  
p263           11/04/2025 02:07:37PM     -             0 / 500000  
p264           11/04/2025 02:07:37PM     -             0 / 500000  
p265           11/04/2025 02:07:37PM     -             0 / 500000  
p266           11/04/2025 02:07:37PM     -             0 / 500000  
p267           11/04/2025 02:07:37PM     -             0 / 500000  
p268           11/04/2025 02:07:37PM     -             0 / 500000  
p269           11/04/2025 02:07:37PM     -             0 / 500000  
p270           11/04/2025 02:07:37PM     -             0 / 500000  
p271           11/04/2025 02:07:37PM     -             0 / 500000  
p272           11/04/2025 02:07:37PM     -             0 / 500000  
p273           11/04/2025 02:07:37PM     -             0 / 500000  
p274           11/04/2025 02:07:38PM     -             0 / 500000  
p275           11/04/2025 02:07:38PM     -             0 / 500000  
p276           11/04/2025 02:07:38PM     -             0 / 500000  
p277           11/04/2025 02:07:38PM     -             0 / 500000  
p278           11/04/2025 02:07:38PM     -             0 / 500000  
p279           11/04/2025 02:07:38PM     -             0 / 500000  
p280           11/04/2025 02:07:38PM     -             0 / 500000  
p281           11/04/2025 02:07:38PM     -             0 / 500000  
p282           11/04/2025 02:07:38PM     -             0 / 500000  
p283           11/04/2025 02:07:38PM     -             0 / 500000  
p284           11/04/2025 02:07:38PM     -             0 / 500000  
p285           11/04/2025 02:07:38PM     -             0 / 500000  
p286           11/04/2025 02:07:38PM     -             0 / 500000  
p287           11/04/2025 02:07:38PM     -             0 / 500000  
p288           11/04/2025 02:07:38PM     -             0 / 500000  
p289           11/04/2025 02:07:39PM     -             0 / 500000  
p290           11/04/2025 02:07:39PM     -             0 / 500000  
p291           11/04/2025 02:07:39PM     -             0 / 500000  
p292           11/04/2025 02:07:39PM     -             0 / 500000  
p293           11/04/2025 02:07:39PM     -             0 / 500000  
p294           11/04/2025 02:07:39PM     -             0 / 500000  
p295           11/04/2025 02:07:39PM     -             0 / 500000  
p296           11/04/2025 02:07:39PM     -             0 / 500000  
p297           11/04/2025 02:07:39PM     -             0 / 500000  
p298           11/04/2025 02:07:39PM     -             0 / 500000  
p299           11/04/2025 02:07:39PM     -             0 / 500000  
p300           11/04/2025 02:07:39PM     -             0 / 500000  
p301           11/04/2025 02:07:39PM     -             0 / 500000  
p302           11/04/2025 02:07:39PM     -             0 / 500000  
p303           11/04/2025 02:07:40PM     -             0 / 500000  
p304           11/04/2025 02:07:40PM     -             0 / 500000  
p305           11/04/2025 02:07:40PM     -             0 / 500000  
p306           11/04/2025 02:07:40PM     -             0 / 500000  
p307           11/04/2025 02:07:40PM     -             0 / 500000  
p308           11/04/2025 02:07:40PM     -             0 / 500000  
p309           11/04/2025 02:07:40PM     -             0 / 500000  
p310           11/04/2025 02:07:40PM     -             0 / 500000  
p311           11/04/2025 02:07:40PM     -             0 / 500000  
p312           11/04/2025 02:07:40PM     -             0 / 500000  
p313           11/04/2025 02:07:40PM     -             0 / 500000  
p314           11/04/2025 02:07:40PM     -             0 / 500000  
p315           11/04/2025 02:07:40PM     -             0 / 500000  
p316           11/04/2025 02:07:40PM     -             0 / 500000  
p317           11/04/2025 02:07:40PM     -             0 / 500000  
p318           11/04/2025 02:07:40PM     -             0 / 500000  
p319           11/04/2025 02:07:41PM     -             0 / 500000  
p320           11/04/2025 02:07:41PM     -             0 / 500000  
p321           11/04/2025 02:07:41PM     -             0 / 500000  
p322           11/04/2025 02:07:41PM     -             0 / 500000  
p323           11/04/2025 02:07:41PM     -             0 / 500000  
p324           11/04/2025 02:07:41PM     -             0 / 500000  
p325           11/04/2025 02:07:41PM     -             0 / 500000  
p326           11/04/2025 02:07:41PM     -             0 / 500000  
p327           11/04/2025 02:07:41PM     -             0 / 500000  
p328           11/04/2025 02:07:41PM     -             0 / 500000  
p329           11/04/2025 02:07:41PM     -             0 / 500000  
p330           11/04/2025 02:07:41PM     -             0 / 500000  
p331           11/04/2025 02:07:41PM     -             0 / 500000  
p332           11/04/2025 02:07:41PM     -             0 / 500000  
p333           11/04/2025 02:07:41PM     -             0 / 500000  
p334           11/04/2025 02:07:41PM     -             0 / 500000  
p335           11/04/2025 02:07:42PM     -             0 / 500000  
p336           11/04/2025 02:07:42PM     -             0 / 500000  
p337           11/04/2025 02:07:42PM     -             0 / 500000  
p338           11/04/2025 02:07:42PM     -             0 / 500000  
p339           11/04/2025 02:07:42PM     -             0 / 500000  
p340           11/04/2025 02:07:42PM     -             0 / 500000  
p341           11/04/2025 02:07:42PM     -             0 / 500000  
p342           11/04/2025 02:07:42PM     -             0 / 500000  
p343           11/04/2025 02:07:42PM     -             0 / 500000  
p344           11/04/2025 02:07:42PM     -             0 / 500000  
p345           11/04/2025 02:07:42PM     -             0 / 500000  
p346           11/04/2025 02:07:42PM     -             0 / 500000  
p347           11/04/2025 02:07:42PM     -             0 / 500000  
p348           11/04/2025 02:07:42PM     -             0 / 500000  
p349           11/04/2025 02:07:42PM     -             0 / 500000  
p350           11/04/2025 02:07:42PM     -             0 / 500000  
p351           11/04/2025 02:07:43PM     -             0 / 500000  
p352           11/04/2025 02:07:43PM     -             0 / 500000  
p353           11/04/2025 02:07:43PM     -             0 / 500000  
p354           11/04/2025 02:07:43PM     -             0 / 500000  
